movie_id,cast_name,cast_id,order
1408,Kwame Kwei-Armah,1221761,28
1408,Ramon Tikaram,178622,29
1408,Christopher Adamson,64102,30
524,Robert De Niro,380,0
524,Sharon Stone,4430,1
524,Joe Pesci,4517,2
524,James Woods,4512,3
524,Don Rickles,7167,4
524,Alan King,7169,5
524,Kevin Pollak,7166,6
524,Pasquale Cajano,7165,7
524,L.Q. Jones,8262,8
524,Dick Smothers,166789,9
524,Frank Vincent,7164,10
524,Oscar Goodman,7424,11
524,Richard Riehle,18262,12
524,Catherine Scorsese,11483,14
524,Vinny Vella,7168,15
524,Nobu Matsuhisa,7425,16
524,Erika von Tagen,7423,17
524,Nick Mazzola,7444,18
524,David Rose,107020,19
524,John Bloom,99906,20
524,Joseph Rigano,13605,21
524,Philip Suriano,14332,22
524,Melissa Prophet,105623,23
524,Bill Allison,1574239,24
524,Joe La Due,96901,25
524,Joseph P. Reidy,7531,26
524,Craig Vincent,1738942,27
524,Carl Ciarfalio,42824,28
524,Gene Ruffini,39599,29
524,Dominick Grieco,1204013,30
524,Clem Caserta,17921,31
524,Daniel P. Conte,120303,32
524,Joey DePinto,583419,33
524,Jack Orend,122124,34
524,Paul Herman,58535,35
524,Jed Mills,1219275,36
524,Claudia Haro,553774,37
524,Ffolliott Le Coque,1892328,38
524,John Manca,1888770,39
524,Ronald Maccone,233121,40
524,Joseph Bono,1888773,41
524,Frank Adonis,4692,42
524,Anthony Russell,58474,43
524,Stuart Nisbet,1183497,44
524,Alfred Nittoli,1644894,45
4584,Kate Winslet,204,0
4584,Emma Thompson,7056,1
4584,Hugh Grant,3291,2
4584,Tom Wilkinson,207,3
4584,Alan Rickman,4566,4
4584,Imogen Stubbs,20769,5
4584,Greg Wise,16700,6
4584,Hugh Laurie,41419,7
4584,Imelda Staunton,11356,8
4584,Robert Hardy,23076,9
4584,Oliver Ford Davies,31923,10
4584,James Fleet,10726,11
4584,Harriet Walter,17477,12
4584,Gemma Jones,9138,13
4584,Emilie François,937907,14
4584,Elizabeth Spriggs,1220119,15
4584,Richard Lumsden,141551,16
5,Tim Roth,3129,0
5,Antonio Banderas,3131,1
5,Jennifer Beals,3130,2
5,Madonna,3125,3
5,Marisa Tomei,3141,4
5,Bruce Willis,62,5
5,Quentin Tarantino,138,6
5,Sammi Davis,3122,7
5,Amanda de Cadenet,3123,8
5,Valeria Golino,3124,9
5,Lili Taylor,3127,10
5,Lawrence Bender,2545,11
5,Ione Skye,3126,12
5,Alicia Witt,3128,13
5,David Proval,2555,14
5,Lana McKissack,3132,15
5,Tamlyn Tomita,3134,16
5,Kathy Griffin,3138,17
5,Paul Calderon,3137,18
5,Salma Hayek,3136,19
5,Patricia Vonne,3133,20
5,Danny Verduzco,3135,21
5,Kimberly Blair,37336,22
5,Marc Lawrence,3140,23
9273,Jim Carrey,206,0
9273,Ian McNeice,3547,1
9273,Simon Callow,4001,2
9273,Maynard Eziashi,57096,3
9273,Bob Gunton,4029,4
9273,Sophie Okonedo,2598,5
9273,Tommy Davidson,88059,6
9273,Adewale Akinnuoye-Agbaje,31164,7
9273,Danny D. Daniels,1080060,8
9273,Sam Motoana Phillips,1080061,9
9273,Damon Standifer,172354,10
9273,Andrew Steel,158324,11
9273,Bruce Spence,27752,12
9273,Tom Grunke,171303,13
9273,Arsenio 'Sonny' Trinidad,1080062,14
11517,Wesley Snipes,10814,0
11517,Woody Harrelson,57755,1
11517,Jennifer Lopez,16866,2
11517,Robert Blake,9287,3
11517,Chris Cooper,2955,4
11517,Joe Grifasi,4887,5
11517,Scott Sowers,32287,6
11517,Skipp Sudduth,33658,7
11517,Aida Turturro,106791,8
11517,Vincent Pastore,47774,9
11517,Enrico Colantoni,15029,10
11517,Bill Nunn,5502,11
11517,Katie Gill,203801,12
11517,Jeremy Roberts,15372,13
11517,Joe Bacino,1811956,14
8012,John Travolta,8891,0
8012,Gene Hackman,193,1
8012,Rene Russo,14343,2
8012,Danny DeVito,518,3
8012,Dennis Farina,1117,4
8012,Delroy Lindo,18792,5
8012,James Gandolfini,4691,6
8012,Jon Gries,9629,7
8012,Renee Props,53600,8
8012,David Paymer,19839,9
8012,Martin Ferrero,4790,10
8012,Miguel Sandoval,30488,11
8012,Jacob Vargas,16429,12
8012,Bobby Slayton,53601,13
8012,Linda Hart,53602,14
8012,Jeffrey J. Stephen,141582,15
1710,Sigourney Weaver,10205,0
1710,Holly Hunter,18686,1
1710,Will Patton,883,2
1710,William McNamara,18687,3
1710,Harry Connick Jr.,18688,4
1710,J.E. Freeman,5169,5
1710,Dermot Mulroney,20212,6
1710,John Rothman,60205,7
1710,Shannon O'Hurley,154691,8
1710,Bob Greene,95838,9
1710,Tony Haney,215904,10
1710,Danny Kovacs,1074167,11
1710,Tahmus Rounds,167781,12
1710,Scott Devenney,1074168,13
1710,David Michael Silverman,1074169,14
9691,Sylvester Stallone,16483,0
9691,Antonio Banderas,3131,1
9691,Julianne Moore,1231,2
9691,Anatoli Davydov,58556,3
9691,Muse Watson,17348,4
9691,Steve Kahan,14328,5
9691,Kelly Rowan,47757,6
9691,Reed Diamond,31508,7
9691,Kai Wulff,42146,8
9691,Kerry Skalsky,58557,9
9691,James Douglas Haskins,58558,10
9691,Stephen Liska,58559,11
9691,John Harms,58560,12
9691,Edward J. Rosen,58561,13
9691,Christina Orchid,58562,14
9691,Choco Orta,1611202,15
9691,Germán Legarreta,543847,16
12665,Mary Steenburgen,2453,0
12665,Sean Patrick Flanery,54789,1
12665,Lance Henriksen,2714,2
12665,Jeff Goldblum,4785,3
12665,Brandon Smith,36637,4
451,Nicolas Cage,2963,0
451,Elisabeth Shue,1951,1
451,Julian Sands,6104,2
451,Richard Lewis,6105,3
451,Steven Weber,6106,4
451,Kim Adams,6107,5
451,Emily Procter,6108,6
451,Stuart Reynolds ,6109,7
451,Valeria Golino,3124,8
451,Graham Beckel,6110,9
451,Mariska Hargitay,6240,10
451,Laurie Metcalf,12133,11
451,Shawnee Smith,2138,12
451,David Kriegel,52418,13
902,Ron Perlman,2372,0
902,Dominique Pinon,2413,1
902,Judith Vittet,13842,2
902,Daniel Emilfork,13843,3
902,Jean-Claude Dreyfus,13687,4
902,Geneviève Brunet,13845,5
902,Odile Mallet,13846,6
902,Mireille Mossé,4394,7
902,Serge Merlin,2410,8
902,Rufus,2407,9
902,Ticky Holgado,13689,10
902,Cris Huerta,100861,11
902,Jean-Louis Trintignant,1352,12
