movie_id,genre
567,Mystery
567,Thriller
3078,Comedy
3078,Romance
213,Mystery
213,Thriller
284,Comedy
284,Drama
284,Romance
239,Comedy
239,Romance
4808,Comedy
4808,Mystery
4808,Romance
4808,Thriller
289,Drama
289,Romance
963,Mystery
963,Crime
963,Thriller
11113,Drama
11113,Family
11113,Music
11113,Romance
6620,Comedy
6620,Drama
6620,Romance
804,Comedy
804,Romance
630,Adventure
630,Family
630,Fantasy
770,Drama
770,Romance
770,War
599,Drama
15,Mystery
15,Drama
62,Science Fiction
62,Mystery
62,Adventure
705,Drama
223,Drama
223,Mystery
303,Thriller
303,Drama
303,Romance
4174,Drama
4174,Mystery
4174,Thriller
8356,Drama
8356,Romance
381,Crime
381,Drama
381,Mystery
381,Romance
381,Thriller
10907,Action
10907,Adventure
10907,Romance
1939,Drama
1939,Mystery
198,Comedy
198,War
1712,Action
1712,Drama
1712,Western
220,Drama
3085,Comedy
3085,Drama
1585,Drama
1585,Family
1585,Fantasy
3083,Comedy
3083,Drama
900,Comedy
900,Romance
260,Action
260,Thriller
260,Mystery
10331,Horror
488,Adventure
488,War
488,Romance
261,Drama
261,Romance
11076,Action
11076,Adventure
11076,Drama
11076,Family
10861,Action
10861,Adventure
10861,Thriller
9333,Action
9333,Crime
9333,Drama
9333,Thriller
9625,Action
9625,Adventure
9625,Crime
9625,Drama
9625,Thriller
14136,Comedy
14136,Family
14136,Fantasy
6878,Adventure
6878,Comedy
6878,Drama
6878,Family
173,Adventure
173,Drama
173,Science Fiction
864,Comedy
24795,Fantasy
24795,Drama
24795,Comedy
24795,Family
11224,Family
11224,Fantasy
11224,Animation
11224,Romance
15947,Animation
15947,Family
15947,Music
9078,Animation
9078,Family
8367,Adventure
433,Comedy
433,Family
433,Fantasy
11360,Animation
11360,Family
11114,Fantasy
11114,Animation
11114,Comedy
11114,Family
12335,Adventure
12335,Fantasy
12335,Animation
12335,Comedy
12335,Family
12335,Music
12092,Animation
12092,Adventure
12092,Family
12092,Fantasy
10948,Adventure
10948,Animation
10948,Drama
10948,Family
15121,Drama
15121,Family
15121,Music
15121,Romance
562,Action
562,Thriller
10163,Horror
10163,Thriller
10163,Science Fiction
11159,Drama
9591,Comedy
9591,Drama
11412,Crime
11412,Action
11412,Mystery
11412,Thriller
10586,Adventure
9716,Music
9716,Comedy
9716,Romance
454,Drama
454,Romance
10218,Comedy
10218,Romance
819,Crime
819,Drama
819,Thriller
11238,Adventure
11238,Animation
11238,Family
252,Family
252,Fantasy
16372,Horror
11561,Comedy
11561,Romance
11561,Science Fiction
11302,Comedy
623,Comedy
623,Crime
583,Comedy
475,Crime
475,Drama
521,Crime
521,Mystery
521,Thriller
88,Drama
88,Music
88,Romance
500,Crime
500,Thriller
792,Drama
792,War
792,Action
8491,Comedy
402,Thriller
402,Mystery
10537,Drama
10537,Music
11386,Romance
11386,Crime
11386,Drama
11386,Thriller
9504,Crime
9504,Drama
9504,Mystery
15764,Drama
15764,Romance
601,Science Fiction
601,Adventure
601,Family
601,Fantasy
2119,Adventure
744,Action
744,Romance
744,War
221,Drama
702,Drama
1630,Drama
11816,Drama
11843,Mystery
11843,Comedy
11843,Crime
10379,Comedy
10379,Fantasy
10379,Family
2756,Adventure
2756,Action
2756,Thriller
2756,Science Fiction
790,Horror
1103,Science Fiction
1103,Action
11298,Drama
11298,Horror
4480,Drama
4481,Drama
10765,Comedy
762,Adventure
762,Comedy
762,Fantasy
11216,Drama
11216,Romance
7452,Crime
7452,Drama
892,Comedy
892,Science Fiction
892,Fantasy
1600,Drama
1600,Thriller
975,Drama
975,War
18129,Crime
18129,Drama
409,Drama
409,Romance
409,War
38251,Comedy
38251,Romance
38251,War
10161,Drama
1412,Drama
2469,Comedy
2469,Crime
2469,Drama
2469,Romance
510,Drama
11455,Comedy
1891,Adventure
1891,Action
1891,Science Fiction
2493,Adventure
2493,Family
2493,Fantasy
2493,Comedy
2493,Romance
85,Adventure
85,Action
68,Comedy
