movie_id,title,original_language,release_date,runtime,budget,revenue,popularity,vote_count,vote_average,collection,oscar_nominations
861,Total Recall,en,01/06/1990,113,65000000.00,261317921.00,13,1745,7.1,,2
1643,Last Tango in Paris,fr,14/10/1972,129,1250000.00,36144000.00,12.7,240,7.1,,2
37135,Tarzan,en,18/06/1999,88,150000000.00,448000000.00,12.5,1715,7.1,Tarzan (Animation) Collection,0
167,K-PAX,en,22/10/2001,120,48000000.00,50315140.00,12.4,710,7.1,,0
881,A Few Good Men,en,11/12/1992,138,40000000.00,243240178.00,12.3,899,7.1,,4
4415,Les Misérables,en,01/05/1998,134,,,12.2,157,7.1,,0
21032,Balto,en,22/12/1995,78,,,12.1,423,7.1,Balto Collection,0
51876,Limitless,en,08/03/2011,105,27000000.00,161849455.00,12.1,3888,7.1,,0
37495,Four Lions,en,07/05/2010,101,967686.00,4270000.00,11.9,428,7.1,,0
17814,Assault on Precinct 13,en,05/11/1976,91,150000.00,436.00,11.9,223,7.1,,0
12289,Red Cliff,zh,10/07/2008,150,80341000.00,127814609.00,11.9,207,7.1,Red Cliff Collection,0
424488,Megan Leavey,en,09/06/2017,116,,,11.9,101,7.1,,0
9473,"South Park: Bigger, Longer & Uncut",en,30/06/1999,81,21000000.00,83137864.00,11.8,916,7.1,,1
609,Poltergeist,en,04/06/1982,114,10700000.00,122200000.00,11.8,811,7.1,Poltergeist Collection,3
1213,The Talented Mr. Ripley,en,25/12/1999,139,40000000.00,128798265.00,11.7,790,7.1,,5
401,Garden State,en,28/07/2004,102,2500000.00,26781723.00,11.6,631,7.1,,0
1491,The Illusionist,en,18/08/2006,110,40000000.00,86915017.00,11.5,1657,7.1,,1
859,Dangerous Liaisons,en,16/12/1988,119,14000000.00,34670720.00,11.5,267,7.1,,0
623,A Fish Called Wanda,en,15/07/1988,108,7500000.00,62493712.00,11.4,576,7.1,,0
14202,The Painted Veil,en,09/12/2006,125,19400000.00,26910847.00,11.4,319,7.1,,0
8337,They Live,en,23/11/1988,94,4000000.00,13008928.00,11.3,562,7.1,,0
11416,The Mission,en,29/09/1986,126,24500000.00,17218023.00,11.2,295,7.1,,0
11159,Secrets & Lies,en,24/05/1996,142,4500000.00,13417292.00,11.2,127,7.1,,5
236735,Marshland,es,25/09/2014,105,4000000.00,5169755.00,11.1,255,7.1,,
6978,Big Trouble in Little China,en,30/05/1986,99,25000000.00,11000000.00,11.1,727,7.1,,0
2657,Pleasantville,en,17/09/1998,124,60000000.00,49805462.00,11.1,498,7.1,,3
1088,Whale Rider,en,30/01/2003,101,8000000.00,41400000.00,11,114,7.1,,1
157832,Calvary,en,11/04/2014,100,,,11,334,7.1,,0
8393,The Gods Must Be Crazy,en,10/09/1980,109,5000000.00,60000000.00,11,251,7.1,The Gods Must Be Crazy Collection,0
81188,Rise of the Guardians,en,21/11/2012,97,145000000.00,306941670.00,10.9,1981,7.1,,0
2841,A Very Long Engagement,fr,26/10/2004,133,56600000.00,69424389.00,10.9,352,7.1,,2
113082,Berserk: The Golden Age Arc 1 - The Egg of the King,ja,03/02/2012,76,,,10.9,105,7.1,Berserk: Golden Age Arc,
1262,Stranger Than Fiction,en,09/09/2006,113,30000000.00,53653224.00,10.8,743,7.1,,0
10139,Milk,en,26/11/2008,128,20000000.00,54586584.00,10.7,628,7.1,,0
4011,Beetlejuice,en,29/02/1988,92,15000000.00,73326666.00,10.6,1475,7.1,,0
473,Pi,en,10/07/1998,84,60000.00,3221152.00,10.6,600,7.1,,0
306943,The Outcasts,en,14/04/2017,95,,,10.6,141,7.1,,
11634,Show Me Love,sv,23/10/1998,89,9000000.00,219331.00,10.6,134,7.1,,0
1443,The Virgin Suicides,en,21/04/1999,97,6000000.00,10409377.00,10.5,841,7.1,,0
11528,The Sandlot,en,07/04/1993,101,7000000.00,34348443.00,10.4,272,7.1,The Sandlot Collection,0
147773,The Way Way Back,en,06/06/2013,103,4600000.00,23198652.00,10.3,695,7.1,,0
451,Leaving Las Vegas,en,27/10/1995,112,3600000.00,49800000.00,10.3,365,7.1,,0
1427,Perfume: The Story of a Murderer,en,13/09/2006,147,50000000.00,132180323.00,10.3,1198,7.1,,0
10648,Magnum Force,en,23/12/1973,124,,,10.2,251,7.1,Dirty Harry Collection,0
462,Erin Brockovich,en,17/03/2000,131,52000000.00,256271286.00,10.1,730,7.1,,0
6145,Fracture,en,20/04/2007,113,,,10.1,908,7.1,,0
2355,Reign Over Me,en,23/03/2007,124,20000000.00,22222308.00,10,340,7.1,,0
10112,The Aristocats,en,23/12/1970,78,4000000.00,55675257.00,9.8,1287,7.1,,0
8356,An Affair to Remember,en,11/07/1957,111,,,9.8,101,7.1,,
2756,The Abyss,en,09/08/1989,139,70000000.00,90000098.00,9.8,822,7.1,,0
5825,National Lampoon's Christmas Vacation,en,01/12/1989,97,27000000.00,71320000.00,9.8,668,7.1,National Lampoon's Vacation Collection,0
45612,Source Code,en,30/03/2011,93,32000000.00,147332697.00,9.8,2752,7.1,,0
58857,13 Assassins,ja,09/09/2010,141,6000000.00,17555141.00,9.5,362,7.1,,0
2609,"Planes, Trains and Automobiles",en,26/11/1987,93,15000000.00,49530280.00,9.4,567,7.1,,0
16608,The Proposition,en,06/10/2005,104,2000000.00,5048693.00,9.4,221,7.1,,0
10536,The Italian Job,fr,02/06/1969,99,3000000.00,122108.00,9.4,202,7.1,,0
9388,Thank You for Smoking,en,05/09/2005,92,6500000.00,24793509.00,9.4,670,7.1,,0
9550,House of Flying Daggers,zh,19/05/2004,119,100000000.00,92863945.00,9.3,452,7.1,,1
11590,Slap Shot,en,25/02/1977,123,6000000.00,28000000.00,9.3,102,7.1,Slap Shot Collection,0
152780,The Past,fr,17/05/2013,130,11000000.00,10631747.00,9.2,161,7.1,,0
4688,Across the Universe,en,14/09/2007,133,45000000.00,29625761.00,9.2,419,7.1,,1
9267,And Now for Something Completely Different,en,28/09/1971,88,100000.00,6979.00,9.1,139,7.1,,0
13012,Felon,en,17/07/2008,103,,,9.1,239,7.1,,0
801,"Good Morning, Vietnam",en,23/12/1987,121,13000000.00,123922370.00,9,658,7.1,,1
10440,Manhattan Murder Mystery,en,18/08/1993,104,13500000.00,11285588.00,8.9,169,7.1,,1
11527,Excalibur,en,10/04/1981,140,11000000.00,34967437.00,8.8,241,7.1,,1
11509,Silverado,en,10/07/1985,127,26000000.00,32192570.00,8.7,147,7.1,,2
